preprocessing,k1,b,metric,mean_vector,mean_bm25,delta,wins_bm25,wins_vector,ties,clear_bm25,clear_vector
stopwords,2,0,R@10,0.3396,0.3136,-0.0260,46,70,109,40,59
stopwords,2,0,F1@10,0.2329,0.2136,-0.0194,46,70,109,40,59
stopwords,2,0,MRR,0.4728,0.4646,-0.0081,78,81,66,54,53
stopwords,2,0,NDCG@10,0.3061,0.2869,-0.0192,86,98,41,50,53
stopwords,2,0.75,MAP,0.2500,0.2606,+0.0106,125,91,9,26,20
stopwords,2,0.75,MAP@10,0.1966,0.2069,+0.0103,91,74,60,31,20
stopwords,2,0.75,P@10,0.2067,0.2138,+0.0071,45,32,148,30,22
stopwords,2,0.75,R@10,0.3396,0.3527,+0.0132,45,32,148,34,23
stopwords,2,0.75,F1@10,0.2329,0.2415,+0.0086,45,32,148,34,23
stopwords,2,0.75,MRR,0.4728,0.5002,+0.0275,82,50,93,44,30
stopwords,2,0.75,NDCG@10,0.3061,0.3248,+0.0186,96,72,57,45,25
stopwords,2,1,MAP,0.2500,0.2577,+0.0077,120,97,8,19,17
stopwords,2,1,MAP@10,0.1966,0.2028,+0.0061,83,72,70,21,18
stopwords,2,1,P@10,0.2067,0.2076,+0.0009,37,34,154,25,25
stopwords,2,1,R@10,0.3396,0.3415,+0.0019,37,34,154,27,26
stopwords,2,1,F1@10,0.2329,0.2340,+0.0011,37,34,154,27,26
stopwords,2,1,MRR,0.4728,0.5064,+0.0336,75,39,111,38,20
stopwords,2,1,NDCG@10,0.3061,0.3205,+0.0144,88,71,66,32,20
stemming,0.5,0,MAP,0.2722,0.2369,-0.0352,88,132,5,32,54
stemming,0.5,0,MAP@10,0.2148,0.1849,-0.0299,80,104,41,31,55
stemming,0.5,0,P@10,0.2164,0.1840,-0.0324,44,74,107,30,58
stemming,0.5,0,R@10,0.3738,0.3202,-0.0536,44,74,107,35,66
stemming,0.5,0,F1@10,0.2476,0.2105,-0.0371,44,74,107,35,67
stemming,0.5,0,MRR,0.4851,0.4693,-0.0159,76,93,56,56,63
stemming,0.5,0,NDCG@10,0.3271,0.2929,-0.0343,87,101,37,48,68
stemming,0.5,0.75,MAP,0.2722,0.2693,-0.0029,109,111,5,31,34
stemming,0.5,0.75,MAP@10,0.2148,0.2140,-0.0008,94,81,50,34,37
stemming,0.5,0.75,P@10,0.2164,0.2027,-0.0138,46,58,121,26,39
stemming,0.5,0.75,R@10,0.3738,0.3530,-0.0208,46,58,121,33,50
stemming,0.5,0.75,F1@10,0.2476,0.2322,-0.0153,46,58,121,33,51
stemming,0.5,0.75,MRR,0.4851,0.5218,+0.0366,82,59,84,55,37
stemming,0.5,0.75,NDCG@10,0.3271,0.3297,+0.0026,99,79,47,50,52
stemming,0.5,1,MAP,0.2722,0.2730,+0.0008,117,104,4,34,34
stemming,0.5,1,MAP@10,0.2148,0.2179,+0.0031,94,80,51,34,36
stemming,0.5,1,P@10,0.2164,0.2076,-0.0089,48,50,127,28,34
stemming,0.5,1,R@10,0.3738,0.3604,-0.0134,48,50,127,36,45
stemming,0.5,1,F1@10,0.2476,0.2380,-0.0096,48,50,127,36,46
stemming,0.5,1,MRR,0.4851,0.5219,+0.0368,86,59,80,57,35
stemming,0.5,1,NDCG@10,0.3271,0.3359,+0.0088,97,80,48,53,42
stemming,1.2,0,MAP,0.2722,0.2409,-0.0313,93,128,4,34,51
stemming,1.2,0,MAP@10,0.2148,0.1863,-0.0285,78,105,42,33,50
stemming,1.2,0,P@10,0.2164,0.1867,-0.0298,39,75,111,26,57
stemming,1.2,0,R@10,0.3738,0.3216,-0.0521,39,75,111,30,64
stemming,1.2,0,F1@10,0.2476,0.2128,-0.0347,39,75,111,30,65
stemming,1.2,0,MRR,0.4851,0.4711,-0.0140,76,89,60,56,62
stemming,1.2,0,NDCG@10,0.3271,0.2949,-0.0322,84,102,39,50,68
stemming,1.2,0.75,MAP,0.2722,0.2834,+0.0113,126,92,7,37,27
stemming,1.2,0.75,MAP@10,0.2148,0.2260,+0.0112,106,68,51,39,31
stemming,1.2,0.75,P@10,0.2164,0.2169,+0.0004,52,45,128,32,31
stemming,1.2,0.75,R@10,0.3738,0.3702,-0.0036,52,45,128,38,40
stemming,1.2,0.75,F1@10,0.2476,0.2472,-0.0004,52,45,128,38,40
stemming,1.2,0.75,MRR,0.4851,0.5305,+0.0454,86,55,84,59,31
stemming,1.2,0.75,NDCG@10,0.3271,0.3446,+0.0175,109,67,49,59,44
stemming,1.2,1,MAP,0.2722,0.2813,+0.0092,119,99,7,29,21
stemming,1.2,1,MAP@10,0.2148,0.2241,+0.0093,102,70,53,30,26
stemming,1.2,1,P@10,0.2164,0.2160,-0.0004,49,43,133,28,28
stemming,1.2,1,R@10,0.3738,0.3739,+0.0002,49,43,133,37,37
stemming,1.2,1,F1@10,0.2476,0.2469,-0.0006,49,43,133,37,37
stemming,1.2,1,MRR,0.4851,0.5144,+0.0293,81,59,85,52,30
stemming,1.2,1,NDCG@10,0.3271,0.3422,+0.0151,100,73,52,50,37
stemming,2,0,MAP,0.2722,0.2417,-0.0304,92,128,5,35,50
stemming,2,0,MAP@10,0.2148,0.1869,-0.0279,80,104,41,36,51
stemming,2,0,P@10,0.2164,0.1898,-0.0267,44,74,107,28,58
stemming,2,0,R@10,0.3738,0.3281,-0.0457,44,74,107,34,66
stemming,2,0,F1@10,0.2476,0.2162,-0.0314,44,74,107,34,66
stemming,2,0,MRR,0.4851,0.4746,-0.0106,79,85,61,58,58
stemming,2,0,NDCG@10,0.3271,0.2990,-0.0281,84,102,39,55,68
stemming,2,0.75,MAP,0.2722,0.2881,+0.0160,131,89,5,38,24
stemming,2,0.75,MAP@10,0.2148,0.2288,+0.0140,107,71,47,30,25
stemming,2,0.75,P@10,0.2164,0.2204,+0.0040,49,42,134,37,25
stemming,2,0.75,R@10,0.3738,0.3720,-0.0018,49,42,134,38,39
stemming,2,0.75,F1@10,0.2476,0.2498,+0.0023,49,42,134,39,39
stemming,2,0.75,MRR,0.4851,0.5318,+0.0467,87,57,81,57,31
stemming,2,0.75,NDCG@10,0.3271,0.3479,+0.0207,109,71,45,57,40
stemming,2,1,MAP,0.2722,0.2866,+0.0144,128,91,6,26,15
stemming,2,1,MAP@10,0.2148,0.2288,+0.0140,100,76,49,27,18
stemming,2,1,P@10,0.2164,0.2218,+0.0053,53,41,131,35,27
stemming,2,1,R@10,0.3738,0.3788,+0.0050,53,41,131,39,36
stemming,2,1,F1@10,0.2476,0.2520,+0.0044,53,41,131,39,36
stemming,2,1,MRR,0.4851,0.5244,+0.0393,83,52,90,49,23
stemming,2,1,NDCG@10,0.3271,0.3478,+0.0207,101,79,45,50,31
stopwords+stemming,0.5,0,MAP,0.2722,0.2434,-0.0288,91,125,9,32,52
stopwords+stemming,0.5,0,MAP@10,0.2153,0.1903,-0.0251,83,101,41,31,55
stopwords+stemming,0.5,0,P@10,0.2173,0.1884,-0.0289,43,70,112,31,51
stopwords+stemming,0.5,0,R@10,0.3741,0.3261,-0.0481,43,70,112,37,63
stopwords+stemming,0.5,0,F1@10,0.2483,0.2155,-0.0328,43,70,112,37,64
stopwords+stemming,0.5,0,MRR,0.4849,0.4742,-0.0108,75,91,59,55,65
stopwords+stemming,0.5,0,NDCG@10,0.3279,0.2980,-0.0299,90,97,38,46,66
stopwords+stemming,0.5,0.75,MAP,0.2722,0.2689,-0.0033,108,108,9,29,32
stopwords+stemming,0.5,0.75,MAP@10,0.2153,0.2135,-0.0018,95,79,51,30,35
stopwords+stemming,0.5,0.75,P@10,0.2173,0.2067,-0.0107,48,51,126,28,36
stopwords+stemming,0.5,0.75,R@10,0.3741,0.3591,-0.0150,48,51,126,33,44
stopwords+stemming,0.5,0.75,F1@10,0.2483,0.2368,-0.0115,48,51,126,33,45
stopwords+stemming,0.5,0.75,MRR,0.4849,0.5153,+0.0304,84,63,78,57,43
stopwords+stemming,0.5,0.75,NDCG@10,0.3279,0.3317,+0.0038,100,78,47,51,46
stopwords+stemming,0.5,1,MAP,0.2722,0.2707,-0.0015,113,104,8,29,33
stopwords+stemming,0.5,1,MAP@10,0.2153,0.2143,-0.0010,94,78,53,28,33
stopwords+stemming,0.5,1,P@10,0.2173,0.2076,-0.0098,45,50,130,27,34
stopwords+stemming,0.5,1,R@10,0.3741,0.3590,-0.0151,45,50,130,32,44
stopwords+stemming,0.5,1,F1@10,0.2483,0.2378,-0.0105,45,50,130,32,45
stopwords+stemming,0.5,1,MRR,0.4849,0.5102,+0.0253,83,63,79,56,42
stopwords+stemming,0.5,1,NDCG@10,0.3279,0.3315,+0.0036,97,78,50,48,44
stopwords+stemming,1.2,0,MAP,0.2722,0.2508,-0.0214,96,121,8,35,51
stopwords+stemming,1.2,0,MAP@10,0.2153,0.1966,-0.0187,85,99,41,33,48
stopwords+stemming,1.2,0,P@10,0.2173,0.1929,-0.0244,43,67,115,30,52
stopwords+stemming,1.2,0,R@10,0.3741,0.3324,-0.0417,43,67,115,36,59
stopwords+stemming,1.2,0,F1@10,0.2483,0.2203,-0.0280,43,67,115,36,60
stopwords+stemming,1.2,0,MRR,0.4849,0.4922,+0.0073,78,78,69,58,56
stopwords+stemming,1.2,0,NDCG@10,0.3279,0.3067,-0.0212,91,96,38,56,64
stopwords+stemming,1.2,0.75,MAP,0.2722,0.2861,+0.0139,125,91,9,37,26
stopwords+stemming,1.2,0.75,MAP@10,0.2153,0.2284,+0.0131,106,67,52,36,29
stopwords+stemming,1.2,0.75,P@10,0.2173,0.2182,+0.0009,51,43,131,36,27
stopwords+stemming,1.2,0.75,R@10,0.3741,0.3730,-0.0012,51,43,131,38,35
stopwords+stemming,1.2,0.75,F1@10,0.2483,0.2489,+0.0006,51,43,131,38,35
stopwords+stemming,1.2,0.75,MRR,0.4849,0.5297,+0.0448,86,54,85,61,33
stopwords+stemming,1.2,0.75,NDCG@10,0.3279,0.3481,+0.0202,111,67,47,56,41
stopwords+stemming,1.2,1,MAP,0.2722,0.2851,+0.0129,124,91,10,28,16
stopwords+stemming,1.2,1,MAP@10,0.2153,0.2266,+0.0113,97,71,57,26,22
stopwords+stemming,1.2,1,P@10,0.2173,0.2156,-0.0018,42,37,146,27,23
stopwords+stemming,1.2,1,R@10,0.3741,0.3714,-0.0027,42,37,146,31,31
stopwords+stemming,1.2,1,F1@10,0.2483,0.2465,-0.0017,42,37,146,31,31
stopwords+stemming,1.2,1,MRR,0.4849,0.5281,+0.0431,82,50,93,52,27
stopwords+stemming,1.2,1,NDCG@10,0.3279,0.3452,+0.0173,98,73,54,48,29
stopwords+stemming,2,0,MAP,0.2722,0.2508,-0.0214,95,120,10,38,50
stopwords+stemming,2,0,MAP@10,0.2153,0.1960,-0.0193,83,101,41,38,50
stopwords+stemming,2,0,P@10,0.2173,0.1951,-0.0222,43,67,115,30,53
stopwords+stemming,2,0,R@10,0.3741,0.3383,-0.0358,43,67,115,35,60
stopwords+stemming,2,0,F1@10,0.2483,0.2230,-0.0253,43,67,115,35,60
stopwords+stemming,2,0,MRR,0.4849,0.4974,+0.0124,82,74,69,61,53
stopwords+stemming,2,0,NDCG@10,0.3279,0.3100,-0.0179,90,96,39,58,62
stopwords+stemming,2,0.75,MAP,0.2722,0.2917,+0.0195,136,80,9,36,20
stopwords+stemming,2,0.75,MAP@10,0.2153,0.2336,+0.0183,108,67,50,34,22
stopwords+stemming,2,0.75,P@10,0.2173,0.2244,+0.0071,50,37,138,39,22
stopwords+stemming,2,0.75,R@10,0.3741,0.3783,+0.0041,50,37,138,36,32
stopwords+stemming,2,0.75,F1@10,0.2483,0.2544,+0.0062,50,37,138,36,32
stopwords+stemming,2,0.75,MRR,0.4849,0.5381,+0.0531,89,50,86,59,29
stopwords+stemming,2,0.75,NDCG@10,0.3279,0.3538,+0.0259,110,68,47,55,29
stopwords+stemming,2,1,MAP,0.2722,0.2886,+0.0164,128,88,9,25,13
stopwords+stemming,2,1,MAP@10,0.2153,0.2306,+0.0153,95,72,58,27,17
stopwords+stemming,2,1,P@10,0.2173,0.2218,+0.0044,46,33,146,32,23
stopwords+stemming,2,1,R@10,0.3741,0.3817,+0.0076,46,33,146,34,29
stopwords+stemming,2,1,F1@10,0.2483,0.2533,+0.0051,46,33,146,34,29
stopwords+stemming,2,1,MRR,0.4849,0.5340,+0.0491,81,39,105,50,19
stopwords+stemming,2,1,NDCG@10,0.3279,0.3510,+0.0231,98,74,53,46,27
